frequency,regime,horizon_periods,horizon_label,asset_class,asset_kind,avg_fwd_return_pct,median_fwd_return_pct,vol_fwd_return_pct,return_to_vol,hit_rate_pct,worst_fwd_return_pct,best_fwd_return_pct,observations,rank_return_to_vol,rank_avg_return,rank_worst_return
monthly,fragile_growth,3,3 months,QQQ / Growth Equity,price proxy,9.35290138767816,10.066160521451339,9.340537461599203,1.001323684651958,86.36363636363636,-11.73236688670557,28.726347389973238,44,1,2,7
monthly,fragile_growth,3,3 months,Cash / Fed Funds Proxy,cash carry proxy,0.43581439393939386,0.39124999999999993,0.44672521775202395,0.975575984119422,100.0,0.019166666666666665,1.3299999999999998,44,2,7,1
monthly,fragile_growth,3,3 months,Gold,price proxy,5.411912575546995,5.16526885057843,5.869002332967764,0.9221179799412972,81.81818181818183,-6.636523224744051,16.384180790960446,44,3,4,2
monthly,fragile_growth,3,3 months,SPY / Broad US Equity,price proxy,5.6340154205249915,6.465545612746338,7.212709600113902,0.7811232855452852,81.81818181818183,-11.248230033876528,26.05547145125722,44,4,3,6
monthly,fragile_growth,3,3 months,AGG / Core Bonds,price proxy,1.0246312248220983,1.2177681869221857,1.9707675655731898,0.5199148000612079,81.81818181818183,-8.248925629618642,3.865542316619641,44,5,6,3
monthly,fragile_growth,3,3 months,LQD / IG Credit,price proxy,1.9231362274966388,2.2696579359886004,3.704924445085067,0.5190756939855713,79.54545454545455,-10.813484428607289,10.151685100052088,44,6,5,5
monthly,fragile_growth,3,3 months,Oil,price proxy,9.554634298194467,7.374590127902736,21.7563543402642,0.43916522726014945,63.63636363636363,-27.259003666163473,105.33130236100531,44,7,1,8
monthly,fragile_growth,3,3 months,DXY / Dollar Exposure,price proxy,-1.7693944582375916,-1.4773020602843245,3.597000289577491,-0.49190834467389694,29.545454545454547,-9.840014544132348,5.267084029725311,44,8,8,4
monthly,macro_tightening,3,3 months,Cash / Fed Funds Proxy,cash carry proxy,0.5413224637681159,0.3579166666666667,0.5261142625122147,1.0289066507782576,100.0,0.01333333333333333,1.3366666666666664,92,1,7,1
monthly,macro_tightening,3,3 months,SPY / Broad US Equity,price proxy,3.158326567644561,4.259913112457303,5.5399465256105325,0.5701005511594709,76.08695652173914,-16.110294514690395,15.934450571992876,92,2,3,6
monthly,macro_tightening,3,3 months,QQQ / Growth Equity,price proxy,4.077208149945983,5.178494539339617,7.430550492006797,0.5487087604521258,80.43478260869566,-22.541190713764138,19.1389128302907,92,3,2,7
monthly,macro_tightening,3,3 months,AGG / Core Bonds,price proxy,0.8853171319580857,0.679361351597707,2.0348687713679867,0.43507332974740726,65.21739130434783,-4.579260008740382,8.295956677053251,92,4,6,2
monthly,macro_tightening,3,3 months,LQD / IG Credit,price proxy,0.9078058040163093,1.0441127850292276,3.012774574270032,0.3013188612813033,60.86956521739131,-8.40411172999338,12.319156076709902,92,5,5,4
monthly,macro_tightening,3,3 months,Gold,price proxy,2.3256114998091686,2.0235903856966053,7.728553933815394,0.30091159610515555,61.95652173913043,-14.547527495180068,23.951639254983114,92,6,4,5
monthly,macro_tightening,3,3 months,Oil,price proxy,5.307075153122402,5.471177563507057,18.605462402760857,0.28524285170869434,63.04347826086957,-40.76320723502812,72.29965156794427,92,7,1,8
monthly,macro_tightening,3,3 months,DXY / Dollar Exposure,price proxy,0.16177484304881087,-0.36582311608518436,3.3907510898702418,0.04771062185369723,45.65217391304348,-7.549923766315869,8.769344957848201,92,8,8,3
monthly,risk_off_stress,3,3 months,Cash / Fed Funds Proxy,cash carry proxy,0.37058823529411766,0.29,0.3618654046785748,1.0241051797236347,100.0,0.015,1.3299999999999998,34,1,5,1
monthly,risk_off_stress,3,3 months,AGG / Core Bonds,price proxy,1.0300080613931686,1.4658045462613511,3.354411479421694,0.30706073709560033,67.64705882352942,-7.5821418831862335,7.704693559211417,34,2,3,2
monthly,risk_off_stress,3,3 months,Gold,price proxy,2.94374616290272,1.6746164929466678,10.627592071549298,0.27699088778381936,55.88235294117647,-20.50464515419713,28.117004356545205,34,3,1,5
monthly,risk_off_stress,3,3 months,LQD / IG Credit,price proxy,1.662521755461792,2.0746230749277172,6.9055380164288165,0.24075195176777278,61.76470588235294,-12.336819503554253,15.51252918759185,34,4,2,4
monthly,risk_off_stress,3,3 months,DXY / Dollar Exposure,price proxy,0.8851673146726099,0.3724328200873428,5.656451501947831,0.1564880940582267,55.88235294117647,-8.417577883226734,16.628078012638902,34,5,4,3
monthly,risk_off_stress,3,3 months,Oil,price proxy,0.3046277494375997,0.2900488734328577,30.559034737206826,0.009968500381548485,50.0,-56.70354206840557,87.69775678866587,34,6,6,8
monthly,risk_off_stress,3,3 months,QQQ / Growth Equity,price proxy,-0.26192991442155605,1.3635722951053975,14.04225822431946,-0.018652976625079132,52.94117647058824,-36.81770041115111,30.268300662958623,34,7,7,7
monthly,risk_off_stress,3,3 months,SPY / Broad US Equity,price proxy,-0.6503188946293076,1.970790462173,11.221241567958227,-0.05795427276837754,58.82352941176471,-29.64406153146203,20.16186202128527,34,8,8,6
monthly,risk_on_growth,3,3 months,Cash / Fed Funds Proxy,cash carry proxy,0.41503584229390683,0.04583333333333333,0.5049039093120236,0.8220095638780656,100.0,0.015,1.3325,93,1,7,1
monthly,risk_on_growth,3,3 months,QQQ / Growth Equity,price proxy,2.835757125588678,2.8572803304412364,6.918634856575843,0.409872349730008,70.96774193548387,-17.904204140341484,19.111558610417113,93,2,2,5
monthly,risk_on_growth,3,3 months,SPY / Broad US Equity,price proxy,2.4871901595292925,2.9354429703154272,6.172475589521038,0.4029485614737424,72.04301075268818,-19.447844911863466,15.381478351057698,93,3,3,6
monthly,risk_on_growth,3,3 months,Gold,price proxy,3.05262207292904,2.7458492975734217,8.514770284077521,0.3585090344289608,62.365591397849464,-22.58549888718222,25.12846831257185,93,4,1,7
monthly,risk_on_growth,3,3 months,DXY / Dollar Exposure,price proxy,0.8929901903064171,0.7380903919699033,3.388504066018648,0.263535227613182,63.44086021505376,-7.6718186929152665,9.074174212179443,93,5,4,3
monthly,risk_on_growth,3,3 months,AGG / Core Bonds,price proxy,0.5340780782496138,0.7859843337587602,2.0786187954058666,0.25693892474657953,63.44086021505376,-5.845680686168542,4.148176902960676,93,6,6,2
monthly,risk_on_growth,3,3 months,LQD / IG Credit,price proxy,0.6846816714957815,0.9780872743011759,3.1201479711351037,0.21943884643608608,64.51612903225806,-8.377461050523694,9.067806233713348,93,7,5,4
monthly,risk_on_growth,3,3 months,Oil,price proxy,-0.5232007654872803,-1.1887072808320909,17.373961650778163,-0.03011407392302185,45.16129032258064,-65.48492257538712,38.6435331230284,93,8,8,8
