frequency,regime,horizon_periods,horizon_label,asset_class,asset_kind,avg_fwd_return_pct,median_fwd_return_pct,vol_fwd_return_pct,return_to_vol,hit_rate_pct,worst_fwd_return_pct,best_fwd_return_pct,observations,rank_return_to_vol,rank_avg_return,rank_worst_return
weekly,fragile_growth,13,13 weeks,Cash / Fed Funds Proxy,cash carry proxy,0.39883492419988764,0.09096153846153844,0.4457747451765142,0.8947005825598313,100.0,0.014807692307692308,1.2651923076923075,137,1,7,1
weekly,fragile_growth,13,13 weeks,Gold,price proxy,4.760000589570737,3.765649059899201,9.496628582993795,0.5012305733526071,68.61313868613139,-21.04016366964575,26.070528967254415,137,2,3,5
weekly,fragile_growth,13,13 weeks,Oil,price proxy,14.835704738908243,13.827103875257961,30.650795216865813,0.4840234856531485,79.56204379562044,-60.88097469540769,138.18874898925725,137,3,1,8
weekly,fragile_growth,13,13 weeks,AGG / Core Bonds,price proxy,0.9916852922754704,1.2746664423106013,2.072149683634494,0.47857801977706627,72.26277372262774,-10.747490250974268,5.745582591476239,137,4,6,3
weekly,fragile_growth,13,13 weeks,QQQ / Growth Equity,price proxy,5.075442486040109,7.921923242568174,16.054900246394823,0.31613042797820035,74.45255474452554,-43.802873294980884,40.078604214004066,137,5,2,7
weekly,fragile_growth,13,13 weeks,SPY / Broad US Equity,price proxy,2.7176140517196767,5.565911646533417,12.834912346404806,0.21173608189703835,67.88321167883211,-38.31065390773131,38.17072951477638,137,6,4,6
weekly,fragile_growth,13,13 weeks,LQD / IG Credit,price proxy,1.0218951683525273,1.2580200599263458,4.903103340163165,0.20841803597770397,67.88321167883211,-17.547454182909263,12.328933787578888,137,7,5,4
weekly,fragile_growth,13,13 weeks,DXY / Dollar Exposure,price proxy,-0.8585918330496007,-1.9219376022974854,5.675627938302739,-0.1512769762893156,37.22627737226277,-9.840014544132348,18.63848476530332,137,8,8,2
weekly,macro_tightening,13,13 weeks,Cash / Fed Funds Proxy,cash carry proxy,0.5033291181523191,0.33903846153846157,0.49710254630879147,1.012525729127245,100.0,0.01788461538461538,1.3325,806,1,7,1
weekly,macro_tightening,13,13 weeks,QQQ / Growth Equity,price proxy,3.793580028815576,4.334506101479818,7.298598576326611,0.5197682800531397,72.8287841191067,-19.527866157229845,23.045944461017378,806,2,1,5
weekly,macro_tightening,13,13 weeks,SPY / Broad US Equity,price proxy,2.774379825227952,3.609080546638943,5.587184631611568,0.4965613288544054,74.06947890818859,-28.243386739578924,15.893362231099184,806,3,3,7
weekly,macro_tightening,13,13 weeks,AGG / Core Bonds,price proxy,0.7320629519101952,0.8393519853297948,1.9306293290011056,0.37918358584605133,69.35483870967742,-7.939543712719344,6.803358142538896,806,4,6,2
weekly,macro_tightening,13,13 weeks,Gold,price proxy,2.9276476846764967,2.5410797211067204,7.868663145615348,0.3720641779293689,63.27543424317618,-22.672779007271572,29.780279644089337,806,5,2,6
weekly,macro_tightening,13,13 weeks,LQD / IG Credit,price proxy,0.8896207082610343,1.1718550503218683,2.908763428451437,0.30584154749726394,66.12903225806451,-15.949801564414612,10.13995800575611,806,6,5,4
weekly,macro_tightening,13,13 weeks,Oil,price proxy,1.480865217106603,1.5847377245197802,17.69396997649379,0.08369321407654208,55.33498759305211,-68.61252979230508,95.20905923344947,806,7,4,8
weekly,macro_tightening,13,13 weeks,DXY / Dollar Exposure,price proxy,0.20336941677041773,0.16409381058771766,3.219277374383757,0.06317238097861862,52.48138957816377,-9.650786566997649,13.542998766452019,806,8,8,3
weekly,risk_off_stress,13,13 weeks,Cash / Fed Funds Proxy,cash carry proxy,0.5642850098619326,0.5700961538461539,0.43532827882516645,1.2962287021297711,100.0,0.015192307692307694,1.3325,78,1,5,1
weekly,risk_off_stress,13,13 weeks,LQD / IG Credit,price proxy,2.698923438677741,3.0452616172158886,8.17026110802316,0.3303350288312586,66.66666666666666,-11.704061663804621,27.376321115285872,78,2,2,4
weekly,risk_off_stress,13,13 weeks,Gold,price proxy,2.8911940181354034,1.7286064469809181,9.715752475886402,0.29757798228300686,57.692307692307686,-13.505980133792828,28.117004356545205,78,3,1,5
weekly,risk_off_stress,13,13 weeks,AGG / Core Bonds,price proxy,1.2906785897859874,2.1286700589486562,4.887828286285072,0.26405972431714664,65.38461538461539,-8.71867911869747,17.35066563411205,78,4,3,2
weekly,risk_off_stress,13,13 weeks,DXY / Dollar Exposure,price proxy,1.023165697496844,0.6378468371403656,4.5754994954549995,0.22361836090533713,58.97435897435898,-9.802225732717929,8.82683541141942,78,5,4,3
weekly,risk_off_stress,13,13 weeks,QQQ / Growth Equity,price proxy,-0.2739941317545439,-0.484248055385339,12.455564668146343,-0.02199772865017128,47.43589743589743,-30.294116228272827,43.38608469657452,78,6,6,7
weekly,risk_off_stress,13,13 weeks,SPY / Broad US Equity,price proxy,-0.5349694909183567,-0.2323693237715918,10.541583017054856,-0.050748496696639236,47.43589743589743,-28.37073131512595,35.48882505562882,78,7,7,6
weekly,risk_off_stress,13,13 weeks,Oil,price proxy,-9.066992956076406,-10.352913263782282,21.69243958007324,-0.4179794034971235,29.48717948717949,-66.73522812266268,68.46153846153848,78,8,8,8
weekly,risk_on_growth,13,13 weeks,QQQ / Growth Equity,price proxy,6.884087748062486,7.438038836387295,7.452923710411732,0.9236761324210815,84.12698412698413,-11.647092015303617,25.573802868855488,126,1,2,5
weekly,risk_on_growth,13,13 weeks,SPY / Broad US Equity,price proxy,5.8092804317745586,6.758712448218473,6.603751265556333,0.8796940099901166,84.12698412698413,-12.82980249103235,22.52297258814002,126,2,3,6
weekly,risk_on_growth,13,13 weeks,Oil,price proxy,8.868634075125618,7.712679820110003,15.452498299059172,0.5739288174304853,69.04761904761905,-24.813988095238106,52.35152487961474,126,3,1,8
weekly,risk_on_growth,13,13 weeks,Cash / Fed Funds Proxy,cash carry proxy,0.15965201465201465,0.030865384615384614,0.33530908969151857,0.4761338703907284,100.0,0.015769230769230768,1.2363461538461538,126,4,8,1
weekly,risk_on_growth,13,13 weeks,LQD / IG Credit,price proxy,1.4972284424084312,1.68820700979746,3.6503656419203794,0.4101584852800585,67.46031746031747,-7.594630958138692,9.879088937414338,126,5,5,3
weekly,risk_on_growth,13,13 weeks,Gold,price proxy,2.849390078499272,2.6373817045592274,7.172566325005063,0.39726228373318817,64.28571428571429,-12.848108288028403,23.221111052934717,126,6,4,7
weekly,risk_on_growth,13,13 weeks,AGG / Core Bonds,price proxy,0.7378860565125674,0.903283887253814,1.9239629130740816,0.38352405417918545,66.66666666666666,-3.583393370995991,4.618030021185282,126,7,6,2
weekly,risk_on_growth,13,13 weeks,DXY / Dollar Exposure,price proxy,0.6860486206562513,0.5105409699036723,4.284700895416401,0.1601158721231062,50.79365079365079,-7.715658110512791,9.69887606922617,126,8,7,4
