date,raw_prob_0,raw_prob_1,raw_prob_2,raw_prob_3,raw_regime,boundary_score,regime,prob_risk_off_stress,prob_risk_on_growth,prob_macro_tightening,prob_fragile_growth,current_confidence
2004-04-02,0.0,1.0,1.5218594705675666e-90,2.4803466025505834e-43,1,0.0,macro_tightening,1.5218594705675666e-90,0.0,1.0,2.4803466025505834e-43,1.0
2004-04-09,0.0,1.0,9.195886099286184e-81,2.6293659365336936e-36,1,0.0,macro_tightening,9.195886099286184e-81,0.0,1.0,2.6293659365336936e-36,1.0
2004-04-16,0.0,1.0,5.3171779192429184e-99,4.7556218993085154e-39,1,0.0,macro_tightening,5.3171779192429184e-99,0.0,1.0,4.7556218993085154e-39,1.0
2004-04-23,0.0,1.0,2.176937768686822e-79,7.157271258621539e-33,1,0.0,macro_tightening,2.176937768686822e-79,0.0,1.0,7.157271258621539e-33,1.0
2004-04-30,0.0,1.0,4.284021874046364e-177,3.1212235774342924e-38,1,0.0,macro_tightening,4.284021874046364e-177,0.0,1.0,3.1212235774342924e-38,1.0
2004-05-07,0.0,1.0,7.730706991800089e-189,5.729850893998745e-47,1,0.0,macro_tightening,7.730706991800089e-189,0.0,1.0,5.729850893998745e-47,1.0
2004-05-14,0.0,1.7766024105798816e-09,0.9999999982233976,2.36324574278151e-58,2,1.7766024207332975e-09,risk_off_stress,0.9999999982233976,0.0,1.7766024105798816e-09,2.36324574278151e-58,0.9999999982233976
2004-05-21,0.0,0.9999999985731378,1.4268611942659686e-09,6.281683656567947e-51,1,1.42686218396193e-09,macro_tightening,1.4268611942659686e-09,0.0,0.9999999985731378,6.281683656567947e-51,0.9999999985731378
2004-05-28,0.0,1.0,6.396515435457542e-291,9.135220577034721e-38,1,0.0,macro_tightening,6.396515435457542e-291,0.0,1.0,9.135220577034721e-38,1.0
2004-06-04,0.0,1.0,1.1924316222290871e-50,3.940673788936627e-61,1,0.0,macro_tightening,1.1924316222290871e-50,0.0,1.0,3.940673788936627e-61,1.0
2004-06-11,0.0,1.0,5.162959910324933e-279,8.262353218454181e-54,1,0.0,macro_tightening,5.162959910324933e-279,0.0,1.0,8.262353218454181e-54,1.0
2004-06-18,0.0,1.0,0.0,4.269434196414716e-43,1,0.0,macro_tightening,0.0,0.0,1.0,4.269434196414716e-43,1.0
2004-06-25,0.0,1.0,0.0,1.3770226959322333e-39,1,0.0,macro_tightening,0.0,0.0,1.0,1.3770226959322333e-39,1.0
2004-07-02,0.0,1.0,0.0,2.8922821096438896e-30,1,0.0,macro_tightening,0.0,0.0,1.0,2.8922821096438896e-30,1.0
2004-07-09,0.0,1.0,2.0876916434528974e-83,3.052873048976207e-37,1,0.0,macro_tightening,2.0876916434528974e-83,0.0,1.0,3.052873048976207e-37,1.0
2004-07-16,0.0,1.0,5.069831398909189e-96,1.2899754021355642e-38,1,0.0,macro_tightening,5.069831398909189e-96,0.0,1.0,1.2899754021355642e-38,1.0
2004-07-23,0.0,1.0,2.8893286665131408e-80,6.570894219800312e-37,1,0.0,macro_tightening,2.8893286665131408e-80,0.0,1.0,6.570894219800312e-37,1.0
2004-07-30,0.0,1.0,1.0002803613785652e-117,8.646865779832277e-37,1,0.0,macro_tightening,1.0002803613785652e-117,0.0,1.0,8.646865779832277e-37,1.0
2004-08-06,0.0,1.0,3.238023807018217e-119,6.377717666630723e-58,1,0.0,macro_tightening,3.238023807018217e-119,0.0,1.0,6.377717666630723e-58,1.0
2004-08-13,0.0,1.0,2.1606391520266444e-138,1.33927178469856e-55,1,0.0,macro_tightening,2.1606391520266444e-138,0.0,1.0,1.33927178469856e-55,1.0
2004-08-20,0.0,1.0,2.455203201348722e-133,2.5917700028022178e-51,1,0.0,macro_tightening,2.455203201348722e-133,0.0,1.0,2.5917700028022178e-51,1.0
2004-08-27,0.0,1.0,1.2763770242200816e-108,3.474068114568676e-37,1,0.0,macro_tightening,1.2763770242200816e-108,0.0,1.0,3.474068114568676e-37,1.0
2004-09-03,0.0,1.0,4.417929954290247e-90,2.0685305962552342e-32,1,0.0,macro_tightening,4.417929954290247e-90,0.0,1.0,2.0685305962552342e-32,1.0
2004-09-10,0.0,1.0,1.909814246669341e-130,5.183657844538482e-34,1,0.0,macro_tightening,1.909814246669341e-130,0.0,1.0,5.183657844538482e-34,1.0
2004-09-17,0.0,1.0,2.4673868523027317e-132,2.567656701919837e-37,1,0.0,macro_tightening,2.4673868523027317e-132,0.0,1.0,2.567656701919837e-37,1.0
2004-09-24,0.0,1.0,2.2114625245870338e-125,2.1518314883272293e-29,1,0.0,macro_tightening,2.2114625245870338e-125,0.0,1.0,2.1518314883272293e-29,1.0
2004-10-01,0.0,1.0,0.0,8.384958631841689e-28,1,0.0,macro_tightening,0.0,0.0,1.0,8.384958631841689e-28,1.0
2004-10-08,0.0,1.0,1.2109446741392378e-168,1.496847185250012e-28,1,0.0,macro_tightening,1.2109446741392378e-168,0.0,1.0,1.496847185250012e-28,1.0
2004-10-15,0.0,1.0,1.1378741505863807e-197,1.2588447581874316e-44,1,0.0,macro_tightening,1.1378741505863807e-197,0.0,1.0,1.2588447581874316e-44,1.0
2004-10-22,0.0,1.0,0.0,2.5910775044656256e-45,1,0.0,macro_tightening,0.0,0.0,1.0,2.5910775044656256e-45,1.0
2004-10-29,0.0,1.0,0.0,4.1466585837986313e-48,1,0.0,macro_tightening,0.0,0.0,1.0,4.1466585837986313e-48,1.0
2004-11-05,0.0,1.0,0.0,5.348090709830523e-40,1,0.0,macro_tightening,0.0,0.0,1.0,5.348090709830523e-40,1.0
2004-11-12,0.0,1.0,0.0,2.2191060432424764e-50,1,0.0,macro_tightening,0.0,0.0,1.0,2.2191060432424764e-50,1.0
2004-11-19,0.0,1.0,0.0,3.9003640728167486e-30,1,0.0,macro_tightening,0.0,0.0,1.0,3.9003640728167486e-30,1.0
2004-11-26,0.0,1.0,0.0,1.4313513353544137e-32,1,0.0,macro_tightening,0.0,0.0,1.0,1.4313513353544137e-32,1.0
2004-12-03,0.0,1.0,0.0,4.389656350641776e-43,1,0.0,macro_tightening,0.0,0.0,1.0,4.389656350641776e-43,1.0
2004-12-10,0.0,1.0,0.0,4.754174677475731e-35,1,0.0,macro_tightening,0.0,0.0,1.0,4.754174677475731e-35,1.0
2004-12-17,0.0,1.0,0.0,1.5546399507969413e-34,1,0.0,macro_tightening,0.0,0.0,1.0,1.5546399507969413e-34,1.0
2004-12-24,0.0,1.0,0.0,1.9795540645671913e-61,1,0.0,macro_tightening,0.0,0.0,1.0,1.9795540645671913e-61,1.0
2004-12-31,0.0,1.0,4.221934e-318,1.638757449489095e-53,1,0.0,macro_tightening,4.221934e-318,0.0,1.0,1.638757449489095e-53,1.0
2005-01-07,0.0,1.0,3.94688470236694e-307,2.4532491852641688e-57,1,0.0,macro_tightening,3.94688470236694e-307,0.0,1.0,2.4532491852641688e-57,1.0
