horizon_periods,current_regime,future_regime,probability
1,risk_on_growth,risk_on_growth,0.4883720930232558
1,risk_on_growth,fragile_growth,0.046511627906976744
1,risk_on_growth,macro_tightening,0.4186046511627907
1,risk_on_growth,risk_off_stress,0.046511627906976744
1,fragile_growth,risk_on_growth,0.23684210526315788
1,fragile_growth,fragile_growth,0.5526315789473685
1,fragile_growth,macro_tightening,0.15789473684210525
1,fragile_growth,risk_off_stress,0.05263157894736842
1,macro_tightening,risk_on_growth,0.06493506493506493
1,macro_tightening,fragile_growth,0.05844155844155844
1,macro_tightening,macro_tightening,0.8246753246753247
1,macro_tightening,risk_off_stress,0.05194805194805195
1,risk_off_stress,risk_on_growth,0.0967741935483871
1,risk_off_stress,fragile_growth,0.1935483870967742
1,risk_off_stress,macro_tightening,0.0967741935483871
1,risk_off_stress,risk_off_stress,0.6129032258064516
3,risk_on_growth,risk_on_growth,0.23255813953488372
3,risk_on_growth,fragile_growth,0.11627906976744186
3,risk_on_growth,macro_tightening,0.6511627906976745
3,risk_on_growth,risk_off_stress,0.0
3,fragile_growth,risk_on_growth,0.42105263157894735
3,fragile_growth,fragile_growth,0.21052631578947367
3,fragile_growth,macro_tightening,0.2631578947368421
3,fragile_growth,risk_off_stress,0.10526315789473684
3,macro_tightening,risk_on_growth,0.05263157894736842
3,macro_tightening,fragile_growth,0.13815789473684212
3,macro_tightening,macro_tightening,0.7171052631578947
3,macro_tightening,risk_off_stress,0.09210526315789473
3,risk_off_stress,risk_on_growth,0.2903225806451613
3,risk_off_stress,fragile_growth,0.12903225806451613
3,risk_off_stress,macro_tightening,0.16129032258064516
3,risk_off_stress,risk_off_stress,0.41935483870967744
6,risk_on_growth,risk_on_growth,0.16279069767441862
6,risk_on_growth,fragile_growth,0.13953488372093023
6,risk_on_growth,macro_tightening,0.6744186046511628
6,risk_on_growth,risk_off_stress,0.023255813953488372
6,fragile_growth,risk_on_growth,0.2631578947368421
6,fragile_growth,fragile_growth,0.10526315789473684
6,fragile_growth,macro_tightening,0.5
6,fragile_growth,risk_off_stress,0.13157894736842105
6,macro_tightening,risk_on_growth,0.10666666666666667
6,macro_tightening,fragile_growth,0.14
6,macro_tightening,macro_tightening,0.64
6,macro_tightening,risk_off_stress,0.11333333333333333
6,risk_off_stress,risk_on_growth,0.3333333333333333
6,risk_off_stress,fragile_growth,0.13333333333333333
6,risk_off_stress,macro_tightening,0.26666666666666666
6,risk_off_stress,risk_off_stress,0.26666666666666666
12,risk_on_growth,risk_on_growth,0.16279069767441862
12,risk_on_growth,fragile_growth,0.23255813953488372
12,risk_on_growth,macro_tightening,0.5581395348837209
12,risk_on_growth,risk_off_stress,0.046511627906976744
12,fragile_growth,risk_on_growth,0.10526315789473684
12,fragile_growth,fragile_growth,0.18421052631578946
12,fragile_growth,macro_tightening,0.5263157894736842
12,fragile_growth,risk_off_stress,0.18421052631578946
12,macro_tightening,risk_on_growth,0.16666666666666666
12,macro_tightening,fragile_growth,0.125
12,macro_tightening,macro_tightening,0.5694444444444444
12,macro_tightening,risk_off_stress,0.1388888888888889
12,risk_off_stress,risk_on_growth,0.26666666666666666
12,risk_off_stress,fragile_growth,0.0
12,risk_off_stress,macro_tightening,0.6666666666666666
12,risk_off_stress,risk_off_stress,0.06666666666666667
