horizon_periods,current_regime,future_regime,probability
1,risk_on_growth,risk_on_growth,0.9622266401590457
1,risk_on_growth,fragile_growth,0.0
1,risk_on_growth,macro_tightening,0.02385685884691849
1,risk_on_growth,risk_off_stress,0.013916500994035786
1,fragile_growth,risk_on_growth,0.031746031746031744
1,fragile_growth,fragile_growth,0.9365079365079365
1,fragile_growth,macro_tightening,0.0
1,fragile_growth,risk_off_stress,0.031746031746031744
1,macro_tightening,risk_on_growth,0.042352941176470586
1,macro_tightening,fragile_growth,0.004705882352941176
1,macro_tightening,macro_tightening,0.9294117647058824
1,macro_tightening,risk_off_stress,0.023529411764705882
1,risk_off_stress,risk_on_growth,0.0
1,risk_off_stress,fragile_growth,0.011764705882352941
1,risk_off_stress,macro_tightening,0.1
1,risk_off_stress,risk_off_stress,0.888235294117647
4,risk_on_growth,risk_on_growth,0.874
4,risk_on_growth,fragile_growth,0.0
4,risk_on_growth,macro_tightening,0.062
4,risk_on_growth,risk_off_stress,0.064
4,fragile_growth,risk_on_growth,0.12698412698412698
4,fragile_growth,fragile_growth,0.8412698412698413
4,fragile_growth,macro_tightening,0.0
4,fragile_growth,risk_off_stress,0.031746031746031744
4,macro_tightening,risk_on_growth,0.1388235294117647
4,macro_tightening,fragile_growth,0.009411764705882352
4,macro_tightening,macro_tightening,0.8
4,macro_tightening,risk_off_stress,0.05176470588235294
4,risk_off_stress,risk_on_growth,0.0
4,risk_off_stress,fragile_growth,0.03529411764705882
4,risk_off_stress,macro_tightening,0.29411764705882354
4,risk_off_stress,risk_off_stress,0.6705882352941176
13,risk_on_growth,risk_on_growth,0.6383838383838384
13,risk_on_growth,fragile_growth,0.006060606060606061
13,risk_on_growth,macro_tightening,0.1919191919191919
13,risk_on_growth,risk_off_stress,0.16363636363636364
13,fragile_growth,risk_on_growth,0.4126984126984127
13,fragile_growth,fragile_growth,0.5714285714285714
13,fragile_growth,macro_tightening,0.0
13,fragile_growth,risk_off_stress,0.015873015873015872
13,macro_tightening,risk_on_growth,0.3847980997624703
13,macro_tightening,fragile_growth,0.007125890736342043
13,macro_tightening,macro_tightening,0.5296912114014252
13,macro_tightening,risk_off_stress,0.07838479809976247
13,risk_off_stress,risk_on_growth,0.0
13,risk_off_stress,fragile_growth,0.12352941176470589
13,risk_off_stress,macro_tightening,0.5705882352941176
13,risk_off_stress,risk_off_stress,0.3058823529411765
26,risk_on_growth,risk_on_growth,0.47878787878787876
26,risk_on_growth,fragile_growth,0.03232323232323232
26,risk_on_growth,macro_tightening,0.32727272727272727
26,risk_on_growth,risk_off_stress,0.16161616161616163
26,fragile_growth,risk_on_growth,0.746031746031746
26,fragile_growth,fragile_growth,0.23809523809523808
26,fragile_growth,macro_tightening,0.0
26,fragile_growth,risk_off_stress,0.015873015873015872
26,macro_tightening,risk_on_growth,0.4803921568627451
26,macro_tightening,fragile_growth,0.0024509803921568627
26,macro_tightening,macro_tightening,0.41421568627450983
26,macro_tightening,risk_off_stress,0.10294117647058823
26,risk_off_stress,risk_on_growth,0.1411764705882353
26,risk_off_stress,fragile_growth,0.18235294117647058
26,risk_off_stress,macro_tightening,0.4176470588235294
26,risk_off_stress,risk_off_stress,0.25882352941176473
