policy,regime,sleeve,target_weight,target_weight_pct
balanced_v1,strategic_neutral,qqq_growth,0.4,40.0
balanced_v1,strategic_neutral,broad_equity,0.15,15.0
balanced_v1,strategic_neutral,core_bonds,0.2,20.0
balanced_v1,strategic_neutral,ig_credit,0.1,10.0
balanced_v1,strategic_neutral,gold,0.1,10.0
balanced_v1,strategic_neutral,cash,0.05,5.0
balanced_v1,risk_on_growth,qqq_growth,0.55,55.00000000000001
balanced_v1,risk_on_growth,broad_equity,0.15,15.0
balanced_v1,risk_on_growth,core_bonds,0.1,10.0
balanced_v1,risk_on_growth,ig_credit,0.05,5.0
balanced_v1,risk_on_growth,gold,0.05,5.0
balanced_v1,risk_on_growth,cash,0.1,10.0
balanced_v1,fragile_growth,qqq_growth,0.35,35.0
balanced_v1,fragile_growth,broad_equity,0.1,10.0
balanced_v1,fragile_growth,core_bonds,0.2,20.0
balanced_v1,fragile_growth,ig_credit,0.1,10.0
balanced_v1,fragile_growth,gold,0.15,15.0
balanced_v1,fragile_growth,cash,0.1,10.0
balanced_v1,macro_tightening,qqq_growth,0.35,35.0
balanced_v1,macro_tightening,broad_equity,0.1,10.0
balanced_v1,macro_tightening,core_bonds,0.2,20.0
balanced_v1,macro_tightening,ig_credit,0.05,5.0
balanced_v1,macro_tightening,gold,0.15,15.0
balanced_v1,macro_tightening,cash,0.15,15.0
balanced_v1,risk_off_stress,qqq_growth,0.1,10.0
balanced_v1,risk_off_stress,broad_equity,0.05,5.0
balanced_v1,risk_off_stress,core_bonds,0.35,35.0
balanced_v1,risk_off_stress,ig_credit,0.1,10.0
balanced_v1,risk_off_stress,gold,0.2,20.0
balanced_v1,risk_off_stress,cash,0.2,20.0
